City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hofn,0,IS,1554183203,100,64.25,-15.21,35,35.75
klaksvik,68,FO,1554180600,92,62.23,-6.59,30.2,1.12
rio gallegos,90,AR,1554181200,87,-51.62,-69.22,55.4,18.34
staroderevyankovskaya,64,RU,1554183719,73,46.13,38.96,48.32,8.9
bowling green,1,US,1554183718,52,36.99,-86.44,43,3.65
alice springs,0,AU,1554181200,14,-23.7,133.88,82.4,11.41
talnakh,0,RU,1554183278,90,69.49,88.39,22.85,7.56
kalmunai,0,LK,1554183720,65,7.42,81.82,90.53,4.88
talaya,40,RU,1554183620,60,55.79,84.89,43,17.9
cururupu,92,BR,1554183720,98,-1.82,-44.87,73.7,2.42
kijang,0,KR,1554181200,19,35.24,129.21,55.4,9.17
kavaratti,68,IN,1554183721,100,10.57,72.64,84.32,11.7
neryungri,0,RU,1554183721,56,56.66,124.71,29.06,4.32
avarua,0,CK,1554181200,69,-21.21,-159.78,80.6,13.87
acari,24,BR,1554183721,95,-6.44,-36.64,69.56,3.87
ofunato,75,JP,1554181560,93,39.11,141.75,35.6,4.7
mastic beach,1,US,1554183718,68,40.77,-72.85,35.01,4.21
iquique,90,CL,1554181200,68,-20.22,-70.14,68,9.17
broome,20,GB,1554183679,93,52.47,1.45,43,5.82
karratha,0,AU,1554183722,22,-20.74,116.85,102.59,8.57
velikiy ustyug,0,RU,1554183723,85,60.76,46.3,27.53,4.99
kloulklubed,75,PW,1554180600,74,7.04,134.26,84.2,11.41
kulhudhuffushi,32,MV,1554183723,100,6.62,73.07,82.79,3.42
bethel,1,US,1554180960,70,60.79,-161.76,44.6,5.82
bilma,0,NE,1554183723,34,18.69,12.92,64.25,2.86
galveston,1,US,1554183655,64,40.58,-86.19,39.2,5.82
haukipudas,0,FI,1554183079,80,65.17,25.5,34,10.29
sao joao da barra,0,BR,1554183724,100,-21.64,-41.05,76.49,12.03
novoseleznevo,0,RU,1554183724,94,55.68,69.21,36.08,7.9
ouesso,92,CG,1554183724,100,1.61,16.05,71.9,2.98
khani,90,GE,1554181200,93,41.96,42.96,44.6,4.7
nurota,92,UZ,1554181200,48,40.56,65.69,62.6,29.97
lumeje,0,AO,1554183725,54,-11.56,20.78,69.83,2.75
nemuro,20,JP,1554181200,59,43.32,145.57,33.8,11.41
carutapera,92,BR,1554183725,99,-1.2,-46.02,75.86,2.42
yumen,12,CN,1554183174,33,40.29,97.04,61.64,5.66
kodiak,75,US,1554183124,35,39.95,-94.76,45,10.29
beringovskiy,92,RU,1554183178,98,63.05,179.32,30.86,12.48
daye,92,CN,1554183726,100,30.1,114.98,52.46,10.36
marakkanam,40,IN,1554183000,62,12.2,79.95,89.6,3.36
newport,90,GB,1554183617,93,51.59,-3,46,16.11
innisfail,75,CA,1554183316,69,52.02,-113.95,35.6,4.7
camopi,56,GF,1554183727,83,3.17,-52.33,75.32,2.98
ippy,48,CF,1554183727,92,6.26,21.2,71.81,4.76
bauchi,0,NG,1554183727,42,10.31,9.85,64.07,4.76
mackenzie,1,CA,1554181200,75,55.34,-123.09,32,2.24
pontes e lacerda,0,BR,1554183728,88,-15.23,-59.33,73.52,4.09
beisfjord,75,NO,1554183115,93,68.38,17.6,39,29.97
kirakira,76,SB,1554183213,100,-10.46,161.92,84.05,8.46
bathsheba,40,BB,1554181200,73,13.22,-59.52,77,14.99
vanimo,20,PG,1554183293,98,-2.67,141.3,83.69,18.07
verkh-usugli,12,RU,1554183729,41,52.7,115.17,43.28,8.34
fougamou,92,GA,1554183729,99,-1.22,10.59,72.08,3.31
bambanglipuro,68,ID,1554183322,90,-7.95,110.28,82.07,4.43
penukonda,0,IN,1554183729,44,14.08,77.6,91.52,4.65
padang,20,ID,1554179400,70,-0.92,100.36,87.8,4.7
marrakesh,40,MA,1554181200,93,31.63,-7.99,53.6,4.7
lasa,20,CY,1554181200,87,34.92,32.53,53.6,5.82
zhigansk,88,RU,1554183339,80,66.77,123.37,31.67,8.23
dudinka,68,RU,1554183730,95,69.41,86.18,21.86,14.5
fairbanks,1,US,1554183121,52,64.84,-147.72,44.6,4.7
rezekne,0,LV,1554183730,71,56.5,27.32,32.21,4.32
sioux lookout,75,CA,1554181680,74,50.1,-91.92,32,4.7
constitucion,0,MX,1554183229,40,23.99,-104.67,54.26,7.56
kununurra,0,AU,1554179400,14,-15.77,128.74,95,10.29
phek,44,IN,1554183731,74,25.7,94.46,69.83,1.86
nouadhibou,0,MR,1554181200,88,20.93,-17.03,62.6,5.82
yatou,40,CM,1554181200,94,3.63,9.81,80.6,2.24
tabory,0,PL,1554183665,56,53.89,19.53,35.01,1.99
srednekolymsk,92,RU,1554183732,80,67.46,153.71,20.78,3.09
cap malheureux,40,MU,1554183541,74,-19.98,57.61,84.2,3.36
sibolga,24,ID,1554183732,84,1.74,98.78,78.83,1.97
chapada dos guimaraes,0,BR,1554181200,88,-15.46,-55.75,80.6,2.98
maragogi,48,BR,1554183616,100,-9.01,-35.22,74.24,1.97
khatanga,88,RU,1554183154,99,71.98,102.47,26.99,17.07
kirksville,1,US,1554182100,65,40.19,-92.58,41,8.05
torata,20,PE,1554183733,73,-17.08,-70.84,39.59,3.76
veraval,8,FR,1554183705,93,49.65,0.71,48,2.24
barranca,88,PE,1554183734,97,-10.75,-77.76,66.32,9.69
yar-sale,0,RU,1554183238,91,66.83,70.83,21.05,13.04
sola,40,NO,1554183059,64,58.89,5.65,41,14.99
port-cartier,20,CA,1554183137,52,50.03,-66.88,23,5.82
ende,8,ID,1554183734,100,-8.84,121.65,83.69,4.43
nelson bay,75,AU,1554183630,68,-32.72,152.14,73.99,4.7
sorland,75,NO,1554180600,93,67.67,12.69,37.4,2.24
aklavik,20,CA,1554181200,78,68.22,-135.01,8.6,8.05
samarai,92,PG,1554183735,100,-10.62,150.67,80.09,15.84
labuhan,56,ID,1554183735,89,-2.54,115.51,77.84,3.42
suntar,92,RU,1554183735,94,62.16,117.65,36.08,8.12
san luis,0,AR,1554183619,85,-33.3,-66.34,59.66,4.21
raudeberg,75,NO,1554183602,60,61.99,5.14,39.99,19.46
salvador,40,BR,1554181200,94,-12.98,-38.48,77,5.82
tahlequah,1,US,1554183501,66,35.92,-94.97,44.01,4.7
isabela,44,PH,1554183613,65,10.2,122.99,84.86,5.44
vrangel,32,RU,1554183737,92,42.73,133.08,38.33,17.96
chuy,32,UY,1554183253,92,-33.69,-53.46,63.35,5.55
turayf,0,SA,1554181200,93,31.68,38.65,46.4,5.82
tocopilla,20,CL,1554183737,100,-22.09,-70.2,59.21,0.96
bollnas,0,SE,1554183738,60,61.35,16.39,31.85,8.46
evensk,8,RU,1554183279,80,61.92,159.24,35.45,8.68
cimitarra,92,CO,1554183738,96,6.31,-73.95,72.98,2.08
coahuayana,0,MX,1554183738,62,18.62,-100.35,55.79,1.86
tambun,75,MY,1554181200,62,4.62,101.14,89.6,4.7
jaen,12,PE,1554183651,92,-5.71,-78.81,61.1,2.08
husavik,48,CA,1554183024,80,50.56,-96.99,37,5.99
aden,100,YE,1554183739,98,12.79,45.03,79.91,8.34
jacareacanga,20,BR,1554183352,92,-6.22,-57.76,75.86,1.97
mora,92,PT,1554183714,100,38.94,-8.17,50,3.09
dillon,90,US,1554183606,80,45.22,-112.64,37,12.75
port hardy,20,CA,1554181200,86,50.7,-127.42,39.2,4.7
palmer,0,AU,1554183237,27,-34.85,139.16,82,10.29
necochea,68,AR,1554183441,78,-38.55,-58.74,68.57,12.48
fuling,100,CN,1554183740,100,29.71,107.39,56.87,3.76
brae,75,GB,1554182400,86,60.4,-1.35,41,3.36
ladovskaya balka,92,RU,1554183741,94,45.63,41.4,40.58,7.34
neftegorsk,56,RU,1554183741,93,52.8,51.16,35,3.98
demirci,0,TR,1554183609,10,39.05,28.66,57,20
coihaique,0,CL,1554181200,81,-45.58,-72.07,51.8,32.21
hay river,20,CA,1554181200,73,60.82,-115.79,21.2,8.05
kaliganj,0,BD,1554183606,79,23.41,89.13,88.64,4.21
hope,1,CA,1554181200,35,49.38,-121.43,55.4,9.17
sault sainte marie,90,CA,1554181200,98,46.49,-84.36,32,6.93
henties bay,0,NA,1554181331,89,-22.12,14.28,59,1.99
osorno,92,CL,1554183743,97,-40.57,-73.14,53,2.64
aranos,0,NA,1554183743,59,-24.14,19.11,68.03,6.22
pestretsy,0,RU,1554181200,64,55.75,49.66,35.6,8.95
birao,0,CF,1554183743,23,10.3,22.78,76.04,14.27
bichena,44,ET,1554183743,69,10.45,38.2,65.69,2.42
kirov,0,RU,1554183683,99,58.6,49.66,27.89,4.65
barcelos,20,PT,1554183424,100,41.53,-8.62,53.01,1.12
sovetskiy,0,RU,1554183190,92,56.76,48.47,27.35,5.99
kombissiri,24,BF,1554183744,57,12.07,-1.34,78.11,7.34
hella,0,IS,1554183008,93,63.84,-20.4,27,22.88
isangel,75,VU,1554181200,66,-19.55,169.27,86,9.17
mitsamiouli,20,KM,1554181200,62,-11.38,43.28,86,3.36
touros,40,BR,1554181200,100,-5.2,-35.46,73.4,4.7
enugu,24,NG,1554183745,95,6.45,7.5,76.13,7.23
shubarshi,88,KZ,1554183745,80,48.59,57.19,45.26,19.08
kieta,88,PG,1554183168,100,-6.22,155.63,77.84,3.09
cayenne,75,GF,1554181200,83,4.94,-52.33,78.8,5.82
lagos,20,NG,1554181200,94,6.46,3.39,80.6,2.24
inuvik,20,CA,1554181200,78,68.36,-133.71,8.6,8.05
mildura,0,AU,1554183034,26,-34.18,142.16,81,6.93
temir,92,KZ,1554183746,79,49.14,57.13,44.45,15.95
hualmay,48,PE,1554183188,97,-11.1,-77.61,64.16,4.65
pecos,1,US,1554183730,31,31.42,-103.49,51.8,6.93
aksu,0,KZ,1554181200,40,52.04,76.93,51.8,11.18
kiunga,88,PG,1554183747,75,-6.12,141.3,84.05,2.08
savinka,92,RU,1554183747,73,50.08,47.1,44.81,11.25
stykkisholmur,0,IS,1554183747,100,65.08,-22.73,28.43,17.29
cody,75,US,1554183606,80,44.53,-109.06,37,1.41
qinhuangdao,0,CN,1554183748,23,39.94,119.59,56.51,8.68
sitka,44,US,1554183748,61,37.17,-99.65,40.76,6.67
soc trang,40,VN,1554181200,49,9.6,105.98,91.4,10.29
margate,20,AU,1554183736,48,-43.03,147.26,66,11.41
hashima,75,JP,1554183527,65,35.32,136.7,55,11.41
bow island,1,CA,1554183165,79,49.87,-111.38,33.01,4.7
marathon,48,CA,1554183749,93,48.72,-86.38,28.16,9.01
anloga,20,GH,1554181200,88,5.79,0.9,82.4,8.05
sarkand,88,KZ,1554183750,100,45.41,79.91,45.35,4.54
flinders,0,AU,1554183739,56,-34.58,150.85,72,12.75
egvekinot,80,RU,1554183750,93,66.32,-179.17,28.79,2.42
vao,20,EE,1554183750,86,59.1,26.19,31.04,8.23
newala,0,TZ,1554183750,69,-10.94,39.28,79.55,4.43
turgenevo,20,RU,1554183751,100,54.84,46.32,33.11,7.67
asyut,0,EG,1554181200,58,27.18,31.19,53.6,6.93
kindu,12,CD,1554183751,82,-2.95,25.92,76.4,2.64
hasaki,75,JP,1554183028,20,35.73,140.83,59,11.41
bend,90,US,1554183636,93,44.06,-121.32,46.4,5.82
bida,0,NG,1554183751,70,9.08,6.02,76.4,2.98
shihezi,0,CN,1554183752,55,44.3,86.03,66.14,8.23
pacific grove,75,US,1554183733,77,36.62,-121.92,60.01,8.05
atar,20,MR,1554183752,49,20.52,-13.05,56.42,3.98
vardo,1,US,1554183542,43,39.62,-77.74,36,5.82
soto la marina,100,MX,1554183753,79,23.77,-98.21,54.89,3.76
beihai,0,CN,1554181200,18,38.95,121.19,53.6,11.18
sorong,36,ID,1554183753,100,-0.86,131.25,80.72,5.66
kota belud,75,MY,1554183017,63,6.35,116.43,91.4,6.93
sakata,75,JP,1554181200,80,38.92,139.93,37.4,20.8
lakes entrance,36,AU,1554183719,68,-37.88,147.99,78.01,6.44
huazhou,88,CN,1554183754,87,21.65,110.64,76.85,16.73
abu samrah,12,SY,1554183754,100,35.3,37.18,53.36,10.69
ambilobe,0,MG,1554183754,100,-13.19,49.05,78.92,4.43
mozarlandia,0,BR,1554183275,84,-14.74,-50.57,70.19,2.75
tenno,20,IT,1554183737,66,45.92,10.83,55.99,3.36
san quintin,88,PH,1554183755,86,17.54,120.52,76.49,4.65
port blair,8,IN,1554183755,100,11.67,92.75,84.32,6.89
chaibasa,0,IN,1554183755,40,22.55,85.81,94.13,4.21
kachiry,0,KZ,1554183592,70,53.07,76.1,49.22,11.81
roblin,56,CA,1554183756,91,51.23,-101.35,30.77,13.04
henderson,1,US,1554183403,16,36.04,-114.98,69.8,12.75
petropavlovsk-kamchatskiy,75,RU,1554181200,64,53.05,158.65,35.6,11.18
antananarivo,40,MG,1554181200,83,-18.91,47.53,71.6,4.7
ko samui,20,TH,1554183000,66,9.54,99.94,89.6,9.17
